Team
Alabama
Clemson
Miami (FL)
Wisconsin
Georgia
Notre Dame
Oklahoma
Ohio State
Penn State
Auburn
Central Florida
Southern California
Oklahoma State
Texas Christian
Washington
Michigan
Washington State
Mississippi State
North Carolina
Michigan State
Stanford
Virginia Tech
Iowa
Memphis
Louisiana State
Northwestern
Boise State
Iowa State
Wake Forest
South Florida
South Carolina
Arizona
Georgia Tech
West Virginia
San Diego State
Boston College
Toledo
Texas A&M
Louisville
Houston
Florida Atlantic
Navy
Texas
Kentucky
Ohio
Army
Arizona State
Florida State
Oregon
UCLA
Northern Illinois
Southern Methodist
Texas Tech
Troy
California
Utah
Fresno State
Missouri
Syracuse
Wyoming
Virginia
Marshall
Purdue
Minnesota
Kansas State
Mississippi
Indiana
Maryland
North Texas
Florida
Colorado
Western Michigan
Nebraska
Duke
Pittsburgh
Central Michigan
Colorado State
Temple
Tennessee
Arkansas
Arkansas State
Florida International
Rutgers
Vanderbilt
Utah State
Tulane
Akron
Appalachian State
Southern Mississippi
North Carolina
Air Force
Middle Tennessee State
Georgia State
Eastern Michigan
Buffalo
Texas-San Antonio
Miami (OH)
Cincinnati
Louisiana Tech
Western Kentucky
Tulsa
Nevada-Las Vegas
South Alabama
Connecticut
New Mexico State
Old Dominion
Louisiana-Monroe
Brigham Young
Illinois
Baylor
Massachusetts
New Mexico
Louisiana-Monroe
Nevada
East Carolina
Idaho
Oregon State
Bowling Green State
Hawaii
Kent State
Kansas
Ball State
Rice
Charlotte
Texas State
Georgia Southern
San Jose State
Texas-El Paso
